00001 | aes128 | Hashcod Variant 00001 - AES-128 Key | Symmetric Keys | 128 | 16 bytes → Base64 | 128 bits | FIPS 197
09007 | hc10000_code_07289 | Hashcod Variant 09007 - HC-VDF-Meridian-Zenith-07289-128-bit-v9.7 | Hashcod Advanced Codes 8282 | H07289 | VDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 640 bits | Hashcod VDF profile
09008 | hc10000_code_07290 | Hashcod Variant 09008 - HC-VRF-Omega-Lattice-07290-256-bit-v1.0 | Hashcod Advanced Codes 8282 | H07290 | VRF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod VRF profile
09009 | hc10000_code_07291 | Hashcod Variant 09009 - HC-AEAD-LW-Vortex-Titan-07291-256-bit-v2.3 | Hashcod Advanced Codes 8282 | H07291 | AEAD-LW - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 640 bits | Hashcod AEAD-LW profile
09010 | hc10000_code_07292 | Hashcod Variant 09010 - HC-XOF-Krypton-Matrix-07292-L3-v3.6 | Hashcod Advanced Codes 8282 | H07292 | XOF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod XOF profile
09011 | hc10000_code_07293 | Hashcod Variant 09011 - HC-KDF-Radial-Prism-07293-L5-v4.9 | Hashcod Advanced Codes 8282 | H07293 | KDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod KDF profile
09012 | hc10000_code_07294 | Hashcod Variant 09012 - HC-MAC-Nexus-Cobalt-07294-192-bit-v5.2 | Hashcod Advanced Codes 8282 | H07294 | MAC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod MAC profile
09013 | hc10000_code_07295 | Hashcod Variant 09013 - HC-PAKE-Vega-Solstice-07295-L1-v6.5 | Hashcod Advanced Codes 8282 | H07295 | PAKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod PAKE profile
09014 | hc10000_code_07296 | Hashcod Variant 09014 - HC-ACCUM-Neon-Parallax-07296-256-bit-v7.8 | Hashcod Advanced Codes 8282 | H07296 | ACCUM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod ACCUM profile
09015 | hc10000_code_07297 | Hashcod Variant 09015 - HC-IBE-Axiom-Vector-07297-L3-v8.1 | Hashcod Advanced Codes 8282 | H07297 | IBE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod IBE profile
09016 | hc10000_code_07298 | Hashcod Variant 09016 - HC-ABE-Nova-Spectra-07298-L5-v9.4 | Hashcod Advanced Codes 8282 | H07298 | ABE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod ABE profile
09017 | hc10000_code_07299 | Hashcod Variant 09017 - HC-RING-Zephyr-Aurora-07299-128-bit-v1.7 | Hashcod Advanced Codes 8282 | H07299 | RING - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod RING profile
09018 | hc10000_code_07300 | Hashcod Variant 09018 - HC-BLIND-Pulse-Kairo-07300-256-bit-v2.0 | Hashcod Advanced Codes 8282 | H07300 | BLIND - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod BLIND profile
09019 | hc10000_code_07301 | Hashcod Variant 09019 - HC-PQC-KEM-Cipher-Quanta-07301-256-bit-v3.3 | Hashcod Advanced Codes 8282 | H07301 | PQC-KEM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 896 bits | Hashcod PQC-KEM profile
09020 | hc10000_code_07302 | Hashcod Variant 09020 - HC-PQC-SIG-Atlas-Sigma-07302-L3-v4.6 | Hashcod Advanced Codes 8282 | H07302 | PQC-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 896 bits | Hashcod PQC-SIG profile
09021 | hc10000_code_07303 | Hashcod Variant 09021 - HC-HASH-SIG-Obsidian-Eclipse-07303-L5-v5.9 | Hashcod Advanced Codes 8282 | H07303 | HASH-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 832 bits | Hashcod HASH-SIG profile
09022 | hc10000_code_07304 | Hashcod Variant 09022 - HC-HPKE-Helix-Falcon-07304-192-bit-v6.2 | Hashcod Advanced Codes 8282 | H07304 | HPKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod HPKE profile
09023 | hc10000_code_07305 | Hashcod Variant 09023 - HC-ZK-Orion-Vertex-07305-L1-v7.5 | Hashcod Advanced Codes 8282 | H07305 | ZK - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod ZK profile
09024 | hc10000_code_07306 | Hashcod Variant 09024 - HC-MPC-Nimbus-Chronos-07306-256-bit-v8.8 | Hashcod Advanced Codes 8282 | H07306 | MPC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod MPC profile
09025 | hc10000_code_07307 | Hashcod Variant 09025 - HC-FHE-Aether-Delta-07307-L3-v9.1 | Hashcod Advanced Codes 8282 | H07307 | FHE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 832 bits | Hashcod FHE profile
09026 | hc10000_code_07308 | Hashcod Variant 09026 - HC-THRESH-Argon-Monolith-07308-L5-v1.4 | Hashcod Advanced Codes 8282 | H07308 | THRESH - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod THRESH profile
09027 | hc10000_code_07309 | Hashcod Variant 09027 - HC-VDF-Meridian-Zenith-07309-128-bit-v2.7 | Hashcod Advanced Codes 8282 | H07309 | VDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 640 bits | Hashcod VDF profile
09028 | hc10000_code_07310 | Hashcod Variant 09028 - HC-VRF-Omega-Lattice-07310-256-bit-v3.0 | Hashcod Advanced Codes 8282 | H07310 | VRF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod VRF profile
09029 | hc10000_code_07311 | Hashcod Variant 09029 - HC-AEAD-LW-Vortex-Titan-07311-256-bit-v4.3 | Hashcod Advanced Codes 8282 | H07311 | AEAD-LW - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 640 bits | Hashcod AEAD-LW profile
09030 | hc10000_code_07312 | Hashcod Variant 09030 - HC-XOF-Krypton-Matrix-07312-L3-v5.6 | Hashcod Advanced Codes 8282 | H07312 | XOF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod XOF profile
09031 | hc10000_code_07313 | Hashcod Variant 09031 - HC-KDF-Radial-Prism-07313-L5-v6.9 | Hashcod Advanced Codes 8282 | H07313 | KDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod KDF profile
09032 | hc10000_code_07314 | Hashcod Variant 09032 - HC-MAC-Nexus-Cobalt-07314-192-bit-v7.2 | Hashcod Advanced Codes 8282 | H07314 | MAC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod MAC profile
09033 | hc10000_code_07315 | Hashcod Variant 09033 - HC-PAKE-Vega-Solstice-07315-L1-v8.5 | Hashcod Advanced Codes 8282 | H07315 | PAKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod PAKE profile
09034 | hc10000_code_07316 | Hashcod Variant 09034 - HC-ACCUM-Neon-Parallax-07316-256-bit-v9.8 | Hashcod Advanced Codes 8282 | H07316 | ACCUM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod ACCUM profile
09035 | hc10000_code_07317 | Hashcod Variant 09035 - HC-IBE-Axiom-Vector-07317-L3-v1.1 | Hashcod Advanced Codes 8282 | H07317 | IBE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod IBE profile
09036 | hc10000_code_07318 | Hashcod Variant 09036 - HC-ABE-Nova-Spectra-07318-L5-v2.4 | Hashcod Advanced Codes 8282 | H07318 | ABE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod ABE profile
09037 | hc10000_code_07319 | Hashcod Variant 09037 - HC-RING-Zephyr-Aurora-07319-128-bit-v3.7 | Hashcod Advanced Codes 8282 | H07319 | RING - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod RING profile
09038 | hc10000_code_07320 | Hashcod Variant 09038 - HC-BLIND-Pulse-Kairo-07320-256-bit-v4.0 | Hashcod Advanced Codes 8282 | H07320 | BLIND - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod BLIND profile
09039 | hc10000_code_07321 | Hashcod Variant 09039 - HC-PQC-KEM-Cipher-Quanta-07321-256-bit-v5.3 | Hashcod Advanced Codes 8282 | H07321 | PQC-KEM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 896 bits | Hashcod PQC-KEM profile
09040 | hc10000_code_07322 | Hashcod Variant 09040 - HC-PQC-SIG-Atlas-Sigma-07322-L3-v6.6 | Hashcod Advanced Codes 8282 | H07322 | PQC-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 896 bits | Hashcod PQC-SIG profile
09041 | hc10000_code_07323 | Hashcod Variant 09041 - HC-HASH-SIG-Obsidian-Eclipse-07323-L5-v7.9 | Hashcod Advanced Codes 8282 | H07323 | HASH-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 832 bits | Hashcod HASH-SIG profile
09042 | hc10000_code_07324 | Hashcod Variant 09042 - HC-HPKE-Helix-Falcon-07324-192-bit-v8.2 | Hashcod Advanced Codes 8282 | H07324 | HPKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod HPKE profile
09043 | hc10000_code_07325 | Hashcod Variant 09043 - HC-ZK-Orion-Vertex-07325-L1-v9.5 | Hashcod Advanced Codes 8282 | H07325 | ZK - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod ZK profile
09044 | hc10000_code_07326 | Hashcod Variant 09044 - HC-MPC-Nimbus-Chronos-07326-256-bit-v1.8 | Hashcod Advanced Codes 8282 | H07326 | MPC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod MPC profile
09045 | hc10000_code_07327 | Hashcod Variant 09045 - HC-FHE-Aether-Delta-07327-L3-v2.1 | Hashcod Advanced Codes 8282 | H07327 | FHE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 832 bits | Hashcod FHE profile
09046 | hc10000_code_07328 | Hashcod Variant 09046 - HC-THRESH-Argon-Monolith-07328-L5-v3.4 | Hashcod Advanced Codes 8282 | H07328 | THRESH - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod THRESH profile
09047 | hc10000_code_07329 | Hashcod Variant 09047 - HC-VDF-Meridian-Zenith-07329-128-bit-v4.7 | Hashcod Advanced Codes 8282 | H07329 | VDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 640 bits | Hashcod VDF profile
09048 | hc10000_code_07330 | Hashcod Variant 09048 - HC-VRF-Omega-Lattice-07330-256-bit-v5.0 | Hashcod Advanced Codes 8282 | H07330 | VRF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod VRF profile
09049 | hc10000_code_07331 | Hashcod Variant 09049 - HC-AEAD-LW-Vortex-Titan-07331-256-bit-v6.3 | Hashcod Advanced Codes 8282 | H07331 | AEAD-LW - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 640 bits | Hashcod AEAD-LW profile
09050 | hc10000_code_07332 | Hashcod Variant 09050 - HC-XOF-Krypton-Matrix-07332-L3-v7.6 | Hashcod Advanced Codes 8282 | H07332 | XOF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod XOF profile
09051 | hc10000_code_07333 | Hashcod Variant 09051 - HC-KDF-Radial-Prism-07333-L5-v8.9 | Hashcod Advanced Codes 8282 | H07333 | KDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod KDF profile
09052 | hc10000_code_07334 | Hashcod Variant 09052 - HC-MAC-Nexus-Cobalt-07334-192-bit-v9.2 | Hashcod Advanced Codes 8282 | H07334 | MAC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod MAC profile
09053 | hc10000_code_07335 | Hashcod Variant 09053 - HC-PAKE-Vega-Solstice-07335-L1-v1.5 | Hashcod Advanced Codes 8282 | H07335 | PAKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod PAKE profile
09054 | hc10000_code_07336 | Hashcod Variant 09054 - HC-ACCUM-Neon-Parallax-07336-256-bit-v2.8 | Hashcod Advanced Codes 8282 | H07336 | ACCUM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod ACCUM profile
09055 | hc10000_code_07337 | Hashcod Variant 09055 - HC-IBE-Axiom-Vector-07337-L3-v3.1 | Hashcod Advanced Codes 8282 | H07337 | IBE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod IBE profile
09056 | hc10000_code_07338 | Hashcod Variant 09056 - HC-ABE-Nova-Spectra-07338-L5-v4.4 | Hashcod Advanced Codes 8282 | H07338 | ABE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod ABE profile
09057 | hc10000_code_07339 | Hashcod Variant 09057 - HC-RING-Zephyr-Aurora-07339-128-bit-v5.7 | Hashcod Advanced Codes 8282 | H07339 | RING - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod RING profile
09058 | hc10000_code_07340 | Hashcod Variant 09058 - HC-BLIND-Pulse-Kairo-07340-256-bit-v6.0 | Hashcod Advanced Codes 8282 | H07340 | BLIND - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod BLIND profile
09059 | hc10000_code_07341 | Hashcod Variant 09059 - HC-PQC-KEM-Cipher-Quanta-07341-256-bit-v7.3 | Hashcod Advanced Codes 8282 | H07341 | PQC-KEM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 896 bits | Hashcod PQC-KEM profile
09060 | hc10000_code_07342 | Hashcod Variant 09060 - HC-PQC-SIG-Atlas-Sigma-07342-L3-v8.6 | Hashcod Advanced Codes 8282 | H07342 | PQC-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 896 bits | Hashcod PQC-SIG profile
09061 | hc10000_code_07343 | Hashcod Variant 09061 - HC-HASH-SIG-Obsidian-Eclipse-07343-L5-v9.9 | Hashcod Advanced Codes 8282 | H07343 | HASH-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 832 bits | Hashcod HASH-SIG profile
09062 | hc10000_code_07344 | Hashcod Variant 09062 - HC-HPKE-Helix-Falcon-07344-192-bit-v1.2 | Hashcod Advanced Codes 8282 | H07344 | HPKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod HPKE profile
09063 | hc10000_code_07345 | Hashcod Variant 09063 - HC-ZK-Orion-Vertex-07345-L1-v2.5 | Hashcod Advanced Codes 8282 | H07345 | ZK - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod ZK profile
09064 | hc10000_code_07346 | Hashcod Variant 09064 - HC-MPC-Nimbus-Chronos-07346-256-bit-v3.8 | Hashcod Advanced Codes 8282 | H07346 | MPC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod MPC profile
09065 | hc10000_code_07347 | Hashcod Variant 09065 - HC-FHE-Aether-Delta-07347-L3-v4.1 | Hashcod Advanced Codes 8282 | H07347 | FHE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 832 bits | Hashcod FHE profile
09066 | hc10000_code_07348 | Hashcod Variant 09066 - HC-THRESH-Argon-Monolith-07348-L5-v5.4 | Hashcod Advanced Codes 8282 | H07348 | THRESH - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod THRESH profile
09067 | hc10000_code_07349 | Hashcod Variant 09067 - HC-VDF-Meridian-Zenith-07349-128-bit-v6.7 | Hashcod Advanced Codes 8282 | H07349 | VDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 640 bits | Hashcod VDF profile
09068 | hc10000_code_07350 | Hashcod Variant 09068 - HC-VRF-Omega-Lattice-07350-256-bit-v7.0 | Hashcod Advanced Codes 8282 | H07350 | VRF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod VRF profile
09069 | hc10000_code_07351 | Hashcod Variant 09069 - HC-AEAD-LW-Vortex-Titan-07351-256-bit-v8.3 | Hashcod Advanced Codes 8282 | H07351 | AEAD-LW - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 640 bits | Hashcod AEAD-LW profile
09070 | hc10000_code_07352 | Hashcod Variant 09070 - HC-XOF-Krypton-Matrix-07352-L3-v9.6 | Hashcod Advanced Codes 8282 | H07352 | XOF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod XOF profile
09071 | hc10000_code_07353 | Hashcod Variant 09071 - HC-KDF-Radial-Prism-07353-L5-v1.9 | Hashcod Advanced Codes 8282 | H07353 | KDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod KDF profile
09072 | hc10000_code_07354 | Hashcod Variant 09072 - HC-MAC-Nexus-Cobalt-07354-192-bit-v2.2 | Hashcod Advanced Codes 8282 | H07354 | MAC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod MAC profile
09073 | hc10000_code_07355 | Hashcod Variant 09073 - HC-PAKE-Vega-Solstice-07355-L1-v3.5 | Hashcod Advanced Codes 8282 | H07355 | PAKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod PAKE profile
09074 | hc10000_code_07356 | Hashcod Variant 09074 - HC-ACCUM-Neon-Parallax-07356-256-bit-v4.8 | Hashcod Advanced Codes 8282 | H07356 | ACCUM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod ACCUM profile
09075 | hc10000_code_07357 | Hashcod Variant 09075 - HC-IBE-Axiom-Vector-07357-L3-v5.1 | Hashcod Advanced Codes 8282 | H07357 | IBE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod IBE profile
09076 | hc10000_code_07358 | Hashcod Variant 09076 - HC-ABE-Nova-Spectra-07358-L5-v6.4 | Hashcod Advanced Codes 8282 | H07358 | ABE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod ABE profile
09077 | hc10000_code_07359 | Hashcod Variant 09077 - HC-RING-Zephyr-Aurora-07359-128-bit-v7.7 | Hashcod Advanced Codes 8282 | H07359 | RING - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod RING profile
09078 | hc10000_code_07360 | Hashcod Variant 09078 - HC-BLIND-Pulse-Kairo-07360-256-bit-v8.0 | Hashcod Advanced Codes 8282 | H07360 | BLIND - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod BLIND profile
09079 | hc10000_code_07361 | Hashcod Variant 09079 - HC-PQC-KEM-Cipher-Quanta-07361-256-bit-v9.3 | Hashcod Advanced Codes 8282 | H07361 | PQC-KEM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 896 bits | Hashcod PQC-KEM profile
09080 | hc10000_code_07362 | Hashcod Variant 09080 - HC-PQC-SIG-Atlas-Sigma-07362-L3-v1.6 | Hashcod Advanced Codes 8282 | H07362 | PQC-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 896 bits | Hashcod PQC-SIG profile
09081 | hc10000_code_07363 | Hashcod Variant 09081 - HC-HASH-SIG-Obsidian-Eclipse-07363-L5-v2.9 | Hashcod Advanced Codes 8282 | H07363 | HASH-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 832 bits | Hashcod HASH-SIG profile
09082 | hc10000_code_07364 | Hashcod Variant 09082 - HC-HPKE-Helix-Falcon-07364-192-bit-v3.2 | Hashcod Advanced Codes 8282 | H07364 | HPKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod HPKE profile
09083 | hc10000_code_07365 | Hashcod Variant 09083 - HC-ZK-Orion-Vertex-07365-L1-v4.5 | Hashcod Advanced Codes 8282 | H07365 | ZK - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod ZK profile
09084 | hc10000_code_07366 | Hashcod Variant 09084 - HC-MPC-Nimbus-Chronos-07366-256-bit-v5.8 | Hashcod Advanced Codes 8282 | H07366 | MPC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod MPC profile
09085 | hc10000_code_07367 | Hashcod Variant 09085 - HC-FHE-Aether-Delta-07367-L3-v6.1 | Hashcod Advanced Codes 8282 | H07367 | FHE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 832 bits | Hashcod FHE profile
09086 | hc10000_code_07368 | Hashcod Variant 09086 - HC-THRESH-Argon-Monolith-07368-L5-v7.4 | Hashcod Advanced Codes 8282 | H07368 | THRESH - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod THRESH profile
09087 | hc10000_code_07369 | Hashcod Variant 09087 - HC-VDF-Meridian-Zenith-07369-128-bit-v8.7 | Hashcod Advanced Codes 8282 | H07369 | VDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 640 bits | Hashcod VDF profile
09088 | hc10000_code_07370 | Hashcod Variant 09088 - HC-VRF-Omega-Lattice-07370-256-bit-v9.0 | Hashcod Advanced Codes 8282 | H07370 | VRF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod VRF profile
09089 | hc10000_code_07371 | Hashcod Variant 09089 - HC-AEAD-LW-Vortex-Titan-07371-256-bit-v1.3 | Hashcod Advanced Codes 8282 | H07371 | AEAD-LW - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 640 bits | Hashcod AEAD-LW profile
09090 | hc10000_code_07372 | Hashcod Variant 09090 - HC-XOF-Krypton-Matrix-07372-L3-v2.6 | Hashcod Advanced Codes 8282 | H07372 | XOF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod XOF profile
09091 | hc10000_code_07373 | Hashcod Variant 09091 - HC-KDF-Radial-Prism-07373-L5-v3.9 | Hashcod Advanced Codes 8282 | H07373 | KDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod KDF profile
09092 | hc10000_code_07374 | Hashcod Variant 09092 - HC-MAC-Nexus-Cobalt-07374-192-bit-v4.2 | Hashcod Advanced Codes 8282 | H07374 | MAC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod MAC profile
09093 | hc10000_code_07375 | Hashcod Variant 09093 - HC-PAKE-Vega-Solstice-07375-L1-v5.5 | Hashcod Advanced Codes 8282 | H07375 | PAKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod PAKE profile
09094 | hc10000_code_07376 | Hashcod Variant 09094 - HC-ACCUM-Neon-Parallax-07376-256-bit-v6.8 | Hashcod Advanced Codes 8282 | H07376 | ACCUM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod ACCUM profile
09095 | hc10000_code_07377 | Hashcod Variant 09095 - HC-IBE-Axiom-Vector-07377-L3-v7.1 | Hashcod Advanced Codes 8282 | H07377 | IBE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod IBE profile
09096 | hc10000_code_07378 | Hashcod Variant 09096 - HC-ABE-Nova-Spectra-07378-L5-v8.4 | Hashcod Advanced Codes 8282 | H07378 | ABE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod ABE profile
09097 | hc10000_code_07379 | Hashcod Variant 09097 - HC-RING-Zephyr-Aurora-07379-128-bit-v9.7 | Hashcod Advanced Codes 8282 | H07379 | RING - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod RING profile
09098 | hc10000_code_07380 | Hashcod Variant 09098 - HC-BLIND-Pulse-Kairo-07380-256-bit-v1.0 | Hashcod Advanced Codes 8282 | H07380 | BLIND - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 704 bits | Hashcod BLIND profile
09099 | hc10000_code_07381 | Hashcod Variant 09099 - HC-PQC-KEM-Cipher-Quanta-07381-256-bit-v2.3 | Hashcod Advanced Codes 8282 | H07381 | PQC-KEM - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 896 bits | Hashcod PQC-KEM profile
09100 | hc10000_code_07382 | Hashcod Variant 09100 - HC-PQC-SIG-Atlas-Sigma-07382-L3-v3.6 | Hashcod Advanced Codes 8282 | H07382 | PQC-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 896 bits | Hashcod PQC-SIG profile
09101 | hc10000_code_07383 | Hashcod Variant 09101 - HC-HASH-SIG-Obsidian-Eclipse-07383-L5-v4.9 | Hashcod Advanced Codes 8282 | H07383 | HASH-SIG - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 832 bits | Hashcod HASH-SIG profile
09102 | hc10000_code_07384 | Hashcod Variant 09102 - HC-HPKE-Helix-Falcon-07384-192-bit-v5.2 | Hashcod Advanced Codes 8282 | H07384 | HPKE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod HPKE profile
09103 | hc10000_code_07385 | Hashcod Variant 09103 - HC-ZK-Orion-Vertex-07385-L1-v6.5 | Hashcod Advanced Codes 8282 | H07385 | ZK - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 768 bits | Hashcod ZK profile
09104 | hc10000_code_07386 | Hashcod Variant 09104 - HC-MPC-Nimbus-Chronos-07386-256-bit-v7.8 | Hashcod Advanced Codes 8282 | H07386 | MPC - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod MPC profile
09105 | hc10000_code_07387 | Hashcod Variant 09105 - HC-FHE-Aether-Delta-07387-L3-v8.1 | Hashcod Advanced Codes 8282 | H07387 | FHE - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 832 bits | Hashcod FHE profile
09106 | hc10000_code_07388 | Hashcod Variant 09106 - HC-THRESH-Argon-Monolith-07388-L5-v9.4 | Hashcod Advanced Codes 8282 | H07388 | THRESH - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 800 bits | Hashcod THRESH profile
09107 | hc10000_code_07389 | Hashcod Variant 09107 - HC-VDF-Meridian-Zenith-07389-128-bit-v1.7 | Hashcod Advanced Codes 8282 | H07389 | VDF - HMAC-SHA256 + SHA-512 + SHA-256 binding + salt/nonce | 640 bits | Hashcod VDF profile
